labs,cat,num,avg,sd,cv
a0,0,498,35.46,2.88,0.0812
a0.5,0.5,3779,43.14,3,0.0695
a1,1,4428,49.87,2.8,0.0561
a1.5,1.5,3805,55.18,2.67,0.0484
a2,2,3093,59.95,3.03,0.0505
a2.5,2.5,2424,63.8,3.31,0.0519
a3,3,1975,67.36,3.29,0.0488
a3.5,3.5,1698,70.56,3.9,0.0553
a4,4,1349,74.01,3.96,0.0535
a4.5,4.5,1224,76.94,3.68,0.0478
a5,5,1027,79.75,3.08,0.0386
a5.5,5.5,888,82.19,2.88,0.035
a6,6,779,84.59,3.03,0.0358
a6.5,6.5,681,86.79,2.62,0.0302
a7,7,643,89.09,2.51,0.0282
a7.5,7.5,564,90.99,2.48,0.0273
a8,8,471,93.07,2.47,0.0265
a8.5,8.5,478,94.46,2.35,0.0249
a9,9,418,96.68,5.52,0.0571
a9.5,9.5,373,98.05,2.2,0.0224
a10,10,384,99.95,2.84,0.0284
a10.5,10.5,324,101.32,2.54,0.0251
a11,11,359,103.01,2.89,0.0281
a11.5,11.5,320,104.57,2.63,0.0252
a12,12,322,105.56,2.76,0.0261
a12.5,12.5,256,106.84,6.55,0.0613
a13,13,239,108.77,2.97,0.0273
a13.5,13.5,264,109.55,3.51,0.032
a14,14,261,110.2,8.74,0.0793
a14.5,14.5,221,111.48,3.2,0.0287
a15,15,211,113.12,3.04,0.0269
a15.5,15.5,195,114.4,3.01,0.0263
a16,16,215,115.44,2.89,0.025
a16.5,16.5,173,116.64,4.76,0.0408
a17,17,182,117.7,2.92,0.0248
a17.5,17.5,156,118.26,3.81,0.0322
a18,18,132,119.45,3.01,0.0252
a18.5,18.5,135,121.84,6.56,0.0538
a19,19,145,120.67,9.57,0.0793
a19.5,19.5,151,121.63,9.69,0.0797
a20,20,139,122.44,9.91,0.0809
a20.5,20.5,129,123.85,3.25,0.0262
a21,21,123,125.32,3.46,0.0276
a21.5,21.5,100,126.06,3.83,0.0304
a22,22,117,127.37,4.97,0.039
a22.5,22.5,115,127.6,9.61,0.0753
a23,23,95,128.75,3.74,0.029
a23.5,23.5,100,129.68,3.61,0.0278
a24,24,101,130.16,3.51,0.027
a24.5,24.5,90,131.5,4.67,0.0355
a25,25,94,131.21,12.9,0.0983
a25.5,25.5,89,132.09,3.64,0.0276
a26,26,86,133.44,4.06,0.0304
a26.5,26.5,84,133.44,4.17,0.0312
a27,27,86,135.5,3.56,0.0263
a27.5,27.5,80,136.5,3.94,0.0289
a28,28,77,136.52,3.31,0.0242
a28.5,28.5,65,135.03,15.72,0.1164
a29,29,67,138.28,4.23,0.0306
a29.5,29.5,73,138.9,4.25,0.0306
a30,30,0,NaN,NA,0.1
